id,url,title,subtitle,topic,content,datetime
1364318,https://lenta.ru/news/2023/01/03/guber/,Губернатор Самарской области приехал в Москву,,Общество/Россия,"Кадр: РБК Варвара Кошечкина Губернатор Самарской области Дмитрий Азаров приехал в Москву, где встретился с руководством Минобороны. Об этом сообщает РБК со ссылкой на пресс-службу главы региона. «Договорились о полной координации действий Министерства обороны и региона», — говорится в сообщении. Отмечается, что стороны договорились о координации действий. Кроме того, были проработаны вопросы медпомощи военным из Самарской области. Ранее Азаров сообщил, что  при ударе Вооруженных сил Украины (ВСУ) по Макеевке в Донецкой народной республике (ДНР) погибли в том числе мобилизованные из его региона. «Под ударом вражеских сил оказались в том числе и наши земляки. Есть раненые, увы, есть погибшие. В данный момент сведения уточняются», — рассказал глава области.",10:57 03.01.2023
1366207,https://lenta.ru/news/2023/01/10/vasilievs/,Записавший видеопривет из Мексики депутат ответил на критику Турчака,,Общество/Россия,"Максим Васильев Фото: страница Максима Васильева во ВКонтакте Анна Щербакова Депутат Курской областной думы Максим Васильев, видеопривет которого во время отдыха в Мексике распространился в соцсетях в конце декабря, ответил на критику зампреда Совета Федерации, секретаря генсовета партии «Единая Россия» Андрея Турчака и губернатора Курской области Романа Старовойта. Его комментарий опубликовал РБК. В интервью одному из российских изданий Васильев пояснил, что Турчак и Старовойт сделали поспешные выводы относительно всей ситуации. Он также пообещал лично поговорить с главой генсовета единороссов. «И со Старовойтом и со всеми высокопоставленными людьми, которые это прокомментировали, я постараюсь поговорить лично. И добиться того, чтобы моя точка зрения была услышана. Есть такое понятие как состязательность права, мне фактически предъявлены серьезные обвинения», — сказал курский депутат. Также Васильев указал, что поддерживает проведение спецоперации на Украине и с самого начала помогает ее участникам. 7 января Турчак посоветовал депутату Курской облдумы сложить полномочия после видеопривета из Мексики. Пока жители Курской области подвергаются обстрелам со стороны Вооруженных сил Украины, некоторые депутаты «позволяют себе ""греть булки"" на теплых заграничных курортах, попивая пивко», обратил внимание он. Турчак подчеркнул, что губернатор Курской области также дал свою оценку «этому дерьму», и выразил уверенность, что местные депутаты разделят его позицию. Кроме того, он счел самым верным решением для Васильева и его жены добровольно сложить депутатские полномочия. Старовойт же отметил, что не может применить к Васильеву «меры дисциплинарного воздействия» по партийной линии, поскольку тот избрался как независимый депутат. Курский глава напомнил, что жена Васильева — депутат от «Единой России». Ранее в сети появилось видео, на котором Васильев на пляже пьет коктейли со словами: «Много денег. Много хорошего настроения. С Новым годом!».",06:10 10.01.2023
1366254,https://lenta.ru/news/2023/01/10/lapinss/,Стало известно о получении раскритикованным Кадыровым генералом новой должности,,Общество/Россия,"Фото: Павел Лисицын / РИА Новости Анна Щербакова Генерал-полковник Александр Лапин возглавил Главный штаб Сухопутных войск Вооруженных сил России. О получении новой должности Лапиным РБК стало известно от источника в Минобороны. Назначение Лапина также подтвердил источник Ura.ru. Ранее генерал-полковник неоднократно подвергался критике со стороны главы Чечни Рамзана Кадырова. Официального заявления от Минобороны о новой должности Лапина пока не поступало. До конца октября 2022 года Лапин командовал группировкой российских войск «Центр» в ходе специальной военной операции на Украине. В ноябре военные попросили командующего Лапина вернуться в зону проведения СВО. До этого генерал уходил в трехнедельный отпуск, чтобы поправить здоровье. Летом 2022 года президент России Владимир Путин присвоил Лапину звание Героя России. Александр Лапин является командующим войсками Центрального военного округа с 22 ноября 2017 года. Он прошел все командные должности, а также возглавлял Общевойсковую академию ВС РФ.",07:03 10.01.2023
1366397,https://lenta.ru/news/2023/01/10/kremllapp/,Кремль ответил на вопрос о новой должности раскритикованного Кадыровым генерала,,Общество/Россия,"Фото: Максим Богодвид / РИА Новости Анна Щербакова Кремль не подтверждает и не опровергает данные СМИ о назначении генерал-полковника Александра Лапина начальником Главного штаба Cухопутных войск РФ. Об этом заявил пресс-секретарь президента России Дмитрий Песков, комментируя вопрос о новой должности генерала, раскритикованного главой Чечни Рамзаном Кадыровым, передает ТАСС. Представитель Кремля напомнил, что есть президентские указы открытые, а также указы под грифом «Секретно». «Я не могу ни подтвердить, ни опровергнуть. (...) Среди тех указов, которые публикуются, такого указа (о назначении Лапина — прим. «Ленты.ру») до сих пор не было», — отметил Песков. Накануне источники РБК и Ura.ru в Минобороны сообщили, что Лапин возглавил Главный штаб Сухопутных войск Вооруженных сил России. Однако официального подтверждения от российского военного ведомства о новом статусе Лапина не было. В июле 2022 года президент России Владимир Путин присвоил генерал-полковнику звание Героя России. Александр Лапин является командующим войсками Центрального военного округа с 22 ноября 2017 года. Он прошел все командные должности, а также возглавлял Общевойсковую академию ВС РФ.",10:12 10.01.2023
1366499,https://lenta.ru/news/2023/01/10/obyazannosti_lapina/,Раскрыты обязанности раскритикованного Кадыровым генерала на новой должности,,Общество/Россия,"Фото: Максим Богодвид / РИА Новости Варвара Кошечкина Генерал-полковник Александр Лапин, ранее подвергавшийся критике со стороны главы Чечни Рамзана Кадырова, на новой должности займется планированием и мобилизационными вопросами. Его обязанности в беседе c Ura.ru раскрыл экс-главнокомандующий Сухопутными войсками, генерал российской армии Владимир Болдырев. По его словам, Лапина уже назначили начальником Главного штаба Сухопутных войск Вооруженных сил России. «Это очень серьезно. Большая должность. Это планирование, в первую очередь, применение сухопутных войск. Это огромная работа, связанная с мобилизационными вопросами, с территориальной обороной. Это планирование подготовки военных округов», — уточнил Болдырев. Он отметил, что Лапину предстоит взять на себя серьезную ответственность, с которой, считает генерал, тот справится благодаря уровню своей подготовки. В свою очередь, полковник запаса и военный обозреватель Геннадий Алехин подчеркнул, что должность начальника Главного штаба Сухопутных войск является одной из ключевых в российской армии. Она подразумевает штабную работу, без которой невозможно обойтись ни в мирное, ни в военное время. «Это мозговой центр Главкомата Сухопутных войск. Это все управления, отделы, это где люди должны думать головой. Они планы разрабатывают, карты рисуют», — отметил он. Во вторник, 10 января, источники РБК и Ura.ru в Минобороны сообщили, что Лапин возглавил Главный штаб Сухопутных войск Вооруженных сил России. Однако официального заявления от оборонного ведомства по этому поводу не было. Представитель Кремля Дмитрий Песков не смог ни подтвердить, ни опровергнуть данную информацию СМИ. Он напомнил, что есть открытые президентские указы, а также указы под грифом «Секретно».",12:10 10.01.2023
1366774,https://lenta.ru/news/2023/01/11/mobilisation/,В Госдуме оценили возможность увеличения мобилизационного резерва в России,,Общество/Россия,"Фото: Александр Мельников / РИА Новости Анастасия Шейкина В России система формирования мобилизационного резерва соответствует запросам, которые стоят перед государством. Об этом, оценивая возможности увеличения этого резерва, заявил глава комитета Госдумы по обороне генерал-полковник Андрей Картаполов, пишет РБК. «Все будет зависеть от масштабов [возможных будущих] конфликтов. Полностью обходиться мобилизационным резервом в случае масштабной войны мы не сможем», — сказал парламентарий. По его мнению, существующая система формирования мобилизационного резерва хорошо себя зарекомендовала. Частичная мобилизация в России началась 21 сентября и завершилась 28 октября. Всего из запаса призвали 300 тысяч россиян. По словам министра обороны Сергея Шойгу, от мобилизации в стране освободили более 830 тысяч человек — часть из них работала на предприятиях оборонно-промышленного комплекса (ОПК) и в других социально значимых государственных сферах Член комитета Госдумы по обороне генерал-лейтенант Андрей Гурулев  сообщил об отсутствии предпосылок для новой мобилизации в России. По данным Гурулева, мобилизованные россияне еще «не до конца введены в сражение». В Кремле также подчеркнули, что в России не готовится вторая волна частичной мобилизации.",05:33 11.01.2023
1367216,https://lenta.ru/news/2023/01/11/ukrit/,В российском регионе появилась карта укрытий на случай ЧС,,Общество/Россия,"Фото:  Виталий Белоусов / РИА Новости Варвара Кошечкина Власти Орловской области опубликовали интерактивную карту укрытий на случай чрезвычайных ситуаций (ЧС). Карта появилась на официальном портале «Обращаем внимание». Пресс-служба администрации российского региона уточнила детали разработки карты в беседе с РБК. По доступным данным, карту создали по поручению губернатора области. «Это департамент наш информационных технологий создал по информации, которую предоставили главы муниципальных образований», — указали в администрации. Убежища на карте обозначены в виде синих кружочков. Нажав на них, пользователь может увидеть адрес и вместимость того или иного места. Помимо этого, на карте есть строка поиска, в которую можно вбить интересующий адрес и посмотреть, есть ли вблизи укрытия. 16 ноября дрон Вооруженных сил Украины атаковал нефтебазу в селе Стальной Конь Орловской области более чем в 170 километрах от границы с Украиной. Губернатор региона Андрей Клычков сообщил, что обошлось без жертв и пострадавших. Позднее выяснилось, что при атаке пострадал один резервуар нефтебазы.",14:24 11.01.2023
1367896,https://lenta.ru/news/2023/01/12/prizyvv/,В Госдуме заявили об отсутствии планов увеличивать численность призывников,,Общество/Россия,"Фото: Sergey Bulkin / news.ru / Globallookpress.com Никита Абрамов При увеличении призывного возраста не планируется увеличивать численность призывников. Об этом заявил глава думского комитета по обороне Андрей Картаполов в эфире телеканала РБК. «У нас количество призывников уменьшается с каждым годом. И их количество не будет увеличено. Сколько их призывали, столько и будут призывать — порядка 200 тысяч человек», — сказал депутат. Он также выразил мнение, что граждане, которых будут призывать с 21 года, смогут заключать контракт практически сразу после прибытия на срочную службу. 21 декабря глава Минобороны Сергей Шойгу выступил с предложением поэтапно увеличить призывной возраст с 18 лет до 21 года. Он уточнил, что предельный возраст призыва должен быть с 27 до 30 лет. При этом в какие сроки будет производиться изменение возраста призыва в армию, Шойгу в своем выступлении не уточнил. 12 января глава думского комитета по обороне Андрей Картаполов рассказал о планах начать грядущий весенний призыв в армию россиян до 30 лет.",17:13 12.01.2023
1367899,https://lenta.ru/news/2023/01/12/molodezh/,В Госдуме заявили об отсутствии необходимости военных сборов для всей молодежи,,Общество/Россия,"Фото: Кирилл Брага / РИА Новости Никита Абрамов Глава комитета Госдумы по обороне Андрей Картаполов заявил в эфире телеканала РБК об отсутствии необходимости отправлять всю молодежь в России на военные сборы. По его словам, система мобилизационного резерва, созданная в России, полностью отвечает угрозам и вызовам, которые стоят перед страной. «И никакой необходимости всю молодежь прогонять через какие-то военные сборы на сегодня нет», — объяснил депутат. Кроме того, он отметил, что при увеличении призывного возраста не планируется увеличивать численность призывников. На срочную службу, пояснил он, будут призывать столько же, сколько и ранее — порядка 200 тысяч человек. Ранее член комитета Государственной думы России по обороне, генерал-лейтенант Виктор Соболев призвал ввести обязательные военные сборы длительностью шесть месяцев для российской молодежи. По его мнению, резервистов не хватит для противостояния НАТО, поэтому «100 процентов молодых людей» нужно обучить военным специальностям.",17:30 12.01.2023
1368387,https://lenta.ru/news/2023/01/13/dreamsss/,В Госдуме назвали мечтами военные сборы для россиян старше 30 лет,,Общество/Россия,"Фото: Илья Питалев / РИА Новости Варвара Кошечкина Глава комитета Госдумы по обороне Андрей Картаполов оценил инициативу организовывать военные сборы для части россиян старше 30 лет и назвал их несовместимыми с реальностью. Об этом депутат заявил в разговоре с РБК. Картаполов ответил на заявление члена комитета Госдумы по обороне генерал-лейтенанта Виктора Соболева. По его словам, неслужившие россияне старше 30 лет и находящиеся в запасе будут привлечены к военным сборам после принятия закона об изменении возраста для призыва в армию. «Это мечты Виктора Ивановича Соболева, не связанные с реальностью никоим образом», — прокомментировал инициативу глава думского комитета по обороне. Сам же Соболев, анонсировавший сборы, объяснил, что планы по их проведению находятся пока в формате идеи. Помимо Картополова об инициативе высказались и другие депутаты. Так, председатель комитета Госдумы по обороне Алексей Журавлев заявил, что законопроект о сборах для россиян старше 30 лет не принят на уровне Госдумы, однако его стоит поддержать, если будет подобное рассмотрение.",14:30 13.01.2023
